;identifier;titulo;descripcion;autor;fecha_publicacion;idioma;descargas;tamano;temas;formato;url;topics;data;num_favoritos;num_revisions;m4b_links
0;mrrowl_2111_librivox;''Mr Rowl'';LibriVox recording of ''Mr Rowl'' by D. K. Broster. Read in English by Elin Raoul des Sablières, a French parole prisoner in England during the Napoleonic Wars, becomes enmeshed in a complicated tangle where his honour conflicts with his parole, and is sent to prison. Juliana Forrest, for whose sake he broke his parole, does her utmost to save him, and in his adventures and misfortunes, Raoul eventually also finds help from an unlikely source. This is a fun adventure story and romance, written in a style similar to Georgette Heyer. (Summary by Elin) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook 01-16 (222MB) M4B Audiobook 17-29 (169MB);['D. K. Broster'];2021-11-09T00:00:00Z;['eng'];420396;2377137941;['librivox', 'audiobooks', 'Napoleonic Wars', 'parole prisoner', 'crossdressing'];audio;https://archive.org/details/mrrowl_2111_librivox;librivox, audiobooks, Napoleonic Wars, parole prisoner, crossdressing;2021-11-09;14;420396;[{'url': 'https://archive.org/download/mrrowl_2111_librivox/MrRowl01-16_librivox.m4b', 'text': 'M4B Audiobook 01-16 (222MB)'}, {'url': 'https://archive.org/download/mrrowl_2111_librivox/MrRowl17-29_librivox.m4b', 'text': 'M4B Audiobook 17-29 (169MB)'}]
1;19demarzo_2104_librivox;El 19 de Marzo y el 2 de Mayo (Version 2);LibriVox recording of El 19 de Marzo y el 2 de Mayo (Version 2) by Benito Pérez Galdós. Read in Spanish by Alexelmagno Instalado en Madrid como cajista del Diario, Gabriel escapa los domingos a visitar a Inés en Aranjuez, donde asiste como protagonista involuntario a la caída de Godoy, Príncipe de la Paz, el 19 de marzo. Este acontecimiento no es sino el preludio de una primavera sanguinaria en Madrid, cuyo colofón será el levantamiento popular contra los franceses y los posteriores fusilamientos del 2 de mayo. (Summary by Alejandro Castillo) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (230MB);['Benito Pérez Galdós'];2021-04-17T00:00:00Z;['spa'];425209;1424478090;['librivox', 'audiobooks', 'carlos iv', 'godoy', 'invasión francesa'];audio;https://archive.org/details/19demarzo_2104_librivox;librivox, audiobooks, carlos iv, godoy, invasión francesa;2021-04-17;2;425209;[{'url': 'https://archive.org/download/19demarzo_2104_librivox/19Marzo2Mayo_librivox.m4b', 'text': 'M4B Audiobook (230MB)'}]
2;cbc032_wilderness_2112_librivox;Coffee Break Collection 032 - Wilderness;LibriVox recording of Coffee Break Collection 032 - Wilderness by Various. Read in English by Librivox volunteers This is the 32nd Coffee Break Collection, in which Librivox readers select and read stories or poems, fiction or non-fiction pieces of fifteen minutes' duration or less, suitable for short commutes and coffee breaks. The subject for this collection is WILDERNESS. The collection is full after 20 pieces have been submitted. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (78MB);['Various'];2021-12-30T00:00:00Z;['eng'];244165;479839006;['librivox', 'audiobooks', 'will fill in later'];audio;https://archive.org/details/cbc032_wilderness_2112_librivox;librivox, audiobooks, will fill in later;2021-12-30;9;244165;[{'url': 'https://archive.org/download/cbc032_wilderness_2112_librivox/CBC032_librivox.m4b', 'text': 'M4B Audiobook (78MB)'}]
3;greatgatsby_2101_librivox;The Great Gatsby;"LibriVox recording of The Great Gatsby by F. Scott Fitzgerald. Read in English by Kara Shallenberg Set in 1925, this is a novel of the Jazz Age; of ambition, of the careless rich, of wild parties and flappers and bootleg booze; and the efforts of a dreamer to reunite with his lost love. - Summary by Kara For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit LibriVox.org . M4B Audiobook (155MB)";['F. Scott Fitzgerald'];2021-01-16T00:00:00Z;['eng'];435011;959513634;['librivox', 'audiobooks', 'fiction', 'jazz age'];audio;https://archive.org/details/greatgatsby_2101_librivox;librivox, audiobooks, fiction, jazz age;2021-01-16;171;435011;[{'url': 'https://archive.org/download/greatgatsby_2101_librivox/GreatGatsby1_librivox.m4b', 'text': 'M4B Audiobook (155MB)'}]
4;sms_012_2111_librivox;Short Mystery and Suspense Collection 012;LibriVox recording of Short Mystery and Suspense Collection 012 by Various. Read in English by Librivox volunteers The 12th edition of the Librivox Mystery and Suspense Collection delivers such gems as Father Brown in the Donnington Affair, Edgar Allen Poe and Guy de Maupassant amongst others. Prepare to by mystified and entertained. Each piece has been selected and read by Librivox readers. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (176MB);['Various'];2021-11-25T00:00:00Z;['eng'];215073;1066482460;['librivox', 'audiobooks', 'dogs', 'halloween', 'father brown', 'monkeys'];audio;https://archive.org/details/sms_012_2111_librivox;librivox, audiobooks, dogs, halloween, father brown, monkeys;2021-11-25;23;216288;[{'url': 'https://archive.org/download/sms_012_2111_librivox/SMSC012_librivox.m4b', 'text': 'M4B Audiobook (176MB)'}]
5;aventurasdesherlockholmes_2110_librivox;Aventuras de Sherlock Holmes;"LibriVox recording of Aventuras de Sherlock Holmes by Sir Arthur Conan Doyle. Read in Spanish by Victor Villarraza Las aventuras de Sherlock Holmes (en inglés: The Adventures of Sherlock Holmes) es una colección de doce cuentos escritos por Arthur Conan Doyle, en los que el personaje principal es el detective de ficción Sherlock Holmes. Se publicaron por primera vez el 14 de octubre de 1892; las historias se habían publicado individualmente en The Strand Magazine entre junio de 1891 y julio de 1892. En el libro no se presentan las historias en orden cronológico y los únicos personajes que se repiten en todos ellas son Holmes y el doctor Watson, quien los narra en primera persona - Summary by Phileas Fogg For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook...";['Sir Arthur Conan Doyle'];2021-10-24T00:00:00Z;['spa'];375816;2183195888;['librivox', 'audiobooks', 'watson', 'conan doyle', 'sherlock', 'aventuras'];audio;https://archive.org/details/aventurasdesherlockholmes_2110_librivox;librivox, audiobooks, watson, conan doyle, sherlock, aventuras;2021-10-24;20;375816;[{'url': 'https://archive.org/download/aventurasdesherlockholmes_2110_librivox/AventurasSherkockHolmes_librivox.m4b', 'text': 'M4B Audiobook (361MB)'}]
6;ssf_078_2105_librivox;Short Science Fiction Collection 078;"LibriVox recording of Short Science Fiction Collection 078 by Various. Read in English by thanhvnyguyen; AnnaR; Rohan31; Matthew Cejmer; Darrell Nobles; BarryHaworth; Melinda Cumming; Mike Manolakes; Dale Grothmann; Jeff Rogers; Christina Fu; JG Parenti; Colleen McMahon; Chris James; Sue Gill; Katrina Begg Science fiction is a genre encompassing imaginative works that take place in this world or that of the author’s creation where anything is possible. The only rules are those set forth by the author. The speculative nature of the genre inspires thought and plants seeds that have led to advances in science. The genre can spark an interest in the sciences and is cited as the impetus for the career choice of many scientists. It is a playing field to explore social perspectives, predictions of the future, and engage in adventures unbound into the richness of the human mind. ( Summary by A. Gramour For further information, including links to online text, reader information, RSS feeds, CD...";['Various'];2021-05-06T00:00:00Z;['eng'];226029;1146653865;['librivox', 'audiobooks', 'Mars', 'planets', 'space travel', 'speculative fiction', 'extraterrestrial'];audio;https://archive.org/details/ssf_078_2105_librivox;librivox, audiobooks, Mars, planets, space travel, speculative fiction, extraterrestrial;2021-05-06;29;226029;[{'url': 'https://archive.org/download/ssf_078_2105_librivox/SSFC078_librivox.m4b', 'text': 'M4B Audiobook (187MB)'}]
7;adventskalender_2021_2111_librivox;Adventskalender 2021;LibriVox Aufnahme von Adventskalender 2021 von verschiedenen Autoren. Gelesen auf Deutsch von LibriVox Freiwilligen. Diese Sammlung ist ein Adventskalender und enthält für jeden Tag vom 1. bis 24. Dezember eine Aufnahme über Weihnachten, den Winter und verwandte Themen. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (152MB);['Various'];2021-11-14T00:00:00Z;['deu'];196392;931096366;['librivox', 'audiobooks', 'Deutsch', 'Advent', 'Weihnachten', 'winter', 'Schnee', 'Nikolaus', 'kalender', 'dezember'];audio;https://archive.org/details/adventskalender_2021_2111_librivox;librivox, audiobooks, Deutsch, Advent, Weihnachten, winter, Schnee, Nikolaus, kalender, dezember;2021-11-14;;197331;[{'url': 'https://archive.org/download/adventskalender_2021_2111_librivox/Adventskalender2021_librivox.m4b', 'text': 'M4B Audiobook (152MB)'}]
8;smc010_2101_librivox;Short Mystery and Suspense Collection 010;"LibriVox recording of Short Mystery and Suspense Collection 010 by Various. Read in English by Colleen McMahon; Dale Grothmann; Annie Mars; Loz87; Virgil; Retroindiereader; Mike Manolakes This collection is for any short story of mystery or suspense in the English Language in the public domain, preferably less than 60 minutes. You are welcome to contribute as many as you wish, and there is no need to ""sign-up"" before recording as long as the work is clearly in the public domain. Please ask here if the story was published after 1924 or if you are unsure for any other reason about its public domain status. Note that translations attract their own new copyright and must also have been published before 1923. Multiple versions are always welcome, so you can record a story that has been recorded before. (If the same stories are submitted twice in the same collection, we will carry the second version over to the next collection) . ( ) For further information, including links to online text,...";['Various'];2021-01-15T00:00:00Z;['eng'];188928;742227896;['librivox', 'audiobooks'];audio;https://archive.org/details/smc010_2101_librivox;librivox, audiobooks, ;2021-01-15;17;189809;[{'url': 'https://archive.org/download/smc010_2101_librivox/ShortMysterySuspense010_librivox.m4b', 'text': 'M4B Audiobook (122MB)'}]
9;adpi_2107_librivox;Antologia di poetesse italiane;"LibriVox recording of Antologia di poetesse italiane by Various. Read in Italian by Kazbek; Marzia Marianera; Liber; pasqualer; Raffaella Liuzzo; Ana Ross; Emanuela; Sophia; Riccardo Della Martera Poesie di: Compiuta Donzella (fl. seconda metà del duecento) Nina Siciliana (fl. 1290) * Ricciarda de' Selvaggi (? - 1313) * Eleonora della Genga (fl. 1360) * Giustina Levi-Perotti (fl. trecento) * Livia Chiavelli (fl. c. 1400) * Lucrezia Tornabuoni (1427 - 1482) Girolama Corsi (? - 1509) Camilla Scarampa (1470? - ?) Barbara Torelli (c. 1475 - 1533) * Veronica Gambara (1485 - 1550) Vittoria Colonna (1492 - 1547) Tullia d'Aragona (1501 - 1556) Virginia Salvi (1510 - 1571) Aurelia Petrucci (1511 - 1542) Chiara Matraini (1515 - 1604) Laura Terracina (1519 - 1577) Isabella di Morra (1520 - 1546) Lucia Bertani Dall'Oro (1521 - 1567) Laura Battiferri (1523 - 1589) Gaspara Stampa (1523 - 1554) Vincenza Armani (1530 - 1569) Olimpia Malipiero (1545 - 1569) Veronica Franco (1546 - 1591) Gerolama...";['Various'];2021-07-05T00:00:00Z;['ita'];167871;519457371;['librivox', 'audiobooks', 'renaissance', 'poesia italiana', 'women poets', 'lirica italiana', 'rinascimento', 'audiolibro'];audio;https://archive.org/details/adpi_2107_librivox;librivox, audiobooks, renaissance, poesia italiana, women poets, lirica italiana, rinascimento, audiolibro;2021-07-05;3;168749;[{'url': 'https://archive.org/download/adpi_2107_librivox/ADPI_librivox.m4b', 'text': 'M4B Audiobook (82MB)'}]
